集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,穂枯れ（ごま葉枯病菌）,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,21918,シラフルオフェン・カスガマイシン・バリダマイシン・フサライド水和剤,ホクコーカスラブバリダジョーカーフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,21918,シラフルオフェン・カスガマイシン・バリダマイシン・フサライド水和剤,ホクコーカスラブバリダジョーカーフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,21918,シラフルオフェン・カスガマイシン・バリダマイシン・フサライド水和剤,ホクコーカスラブバリダジョーカーフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22924,ジノテフラン・チオファネートメチル水和剤,ホクコートップジンスタークルフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22924,ジノテフラン・チオファネートメチル水和剤,ホクコートップジンスタークルフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22924,ジノテフラン・チオファネートメチル水和剤,ホクコートップジンスタークルフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22924,ジノテフラン・チオファネートメチル水和剤,ホクコートップジンスタークルフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22963,エチプロール・フェリムゾン・フサライド水和剤,ホクコーブラシンキラップフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22963,エチプロール・フェリムゾン・フサライド水和剤,ホクコーブラシンキラップフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22963,エチプロール・フェリムゾン・フサライド水和剤,ホクコーブラシンキラップフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,20066,シラフルオフェン・フェリムゾン・フサライド水和剤,ホクコーブラシンジョーカーフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,20066,シラフルオフェン・フェリムゾン・フサライド水和剤,ホクコーブラシンジョーカーフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,20066,シラフルオフェン・フェリムゾン・フサライド水和剤,ホクコーブラシンジョーカーフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
